,c3xy01ch1,c3xy01ch2,c3xy01ch3,c3xy03ch1,c3xy03ch2,c3xy04ch1,c3xy04ch2,c3xy05ch1,c3xy06ch1,c3xy06ch2,xy06ch3_GFP,xy07ch1_GFP,xy07ch2_GFP,xy08ch1_GFP,xy10ch1_GFP,xy10ch2_GFP,xy12ch1_GFP,xy12ch2_GFP,xy12ch3_GFP,xy13ch1_GFP,AVERAGE,
Time (hr),Length (um),Length (um),Length (um),Length (um),Length (um),Length (um),Length (um),Length (um),Length (um),Length (um),Cell Length,Cell Length,Cell Length,Cell Length,Cell Length,Cell Length,Cell Length,Cell Length,Cell Length,Cell Length,Time (hr),AVG Length
0,2.739370584,3.921939373,2.889574289,2.780020237,2.119323492,2.252437353,2.387819052,1.900280714,2.747262955,3.863405228,2.149541855,5.206870556,1.881229162,2.828918934,2.188488007,2.472649336,3.215494871,2.799695969,3.093699694,2.366549492,0,2.790228558
0.05,2.606748819,4.09071064,3.54074645,2.609468699,2.208355665,2.284401894,2.379287004,2.041526318,2.483839989,3.711320162,2.394788742,5.404736996,1.981901884,2.886361122,2.206576824,2.775646448,3.281584978,2.82056284,2.851994038,2.399623632,0.05,2.848009157
0.1,2.867955208,4.292552948,3.693388939,2.648830891,2.346769571,2.226548195,2.260558128,2.201766014,2.720789909,3.710067511,2.107729673,5.706204891,2.227518797,2.912043333,2.299499035,2.546934843,3.359420061,2.79242444,3.056388378,2.534451485,0.1,2.925592113
0.15,2.979483366,4.514976501,3.507369041,2.840071917,2.428399563,2.369824409,2.521584034,2.228062153,2.616269112,4.325663567,2.257328987,6.035155773,2.099756479,2.993972301,2.487101078,2.584628105,3.668205261,3.059318781,3.155263901,2.516634941,0.15,3.059453464
0.2,3.110589504,4.658712387,3.746916533,2.952571869,2.493098974,2.710571766,2.454179287,2.148616314,2.704354763,4.343562126,2.311466455,6.416975975,2.217780828,3.360899925,2.549736977,2.773638248,3.726740837,3.142737627,3.279646158,2.724760056,0.2,3.191377831
0.25,3.173103094,4.909209251,3.908818722,3.106961489,2.682202578,2.855178833,2.562187433,2.315823555,2.86073184,4.508974075,2.441161633,6.664954185,2.34130168,3.187232018,2.744821548,2.86391592,3.890673399,3.304625511,3.485835314,2.955438375,0.25,3.338157523
0.3,3.483302116,5.102763176,4.038984299,3.565384626,2.812825918,2.960648537,2.633324862,2.326502323,2.91453433,4.737830639,2.436030626,7.028392315,2.390553951,3.607030153,2.774242878,2.925022125,4.041198254,3.368900537,3.580518723,2.85145092,0.3,3.478972065
0.35,3.61708951,5.19606781,4.280564308,3.330292702,2.843748569,3.225640774,2.985426426,2.485129833,3.026699066,5.041683197,2.343124866,7.46127224,2.56183362,3.738639355,2.959371328,3.110720873,4.425778389,3.669308186,3.738104582,3.15696311,0.35,3.659872937
0.4,3.715870619,5.60454464,4.496930599,3.551478863,3.023254156,2.959211349,3.134245396,2.446772337,3.304395676,5.423940182,2.720309973,7.72511816,2.674508572,3.953746319,3.104883671,3.221470833,4.715517044,3.715139389,3.903624058,3.342019081,0.4,3.836849046
0.45,3.824736834,5.836974621,4.598138332,3.768338203,3.223494291,3.196347475,3.358614683,2.593914747,3.606441021,5.456777573,2.815397501,8.334065437,2.613137722,4.179919243,3.266204834,3.299243212,4.898656845,3.827678204,3.977633476,3.653673649,0.45,4.016469395
0.5,4.084071636,6.12597084,4.84723568,4.031261444,3.365369081,3.310626984,3.031681299,2.808116674,3.577363491,5.808403015,2.755877495,8.581069946,2.661159277,4.319610119,3.279685497,3.511829615,5.124258041,4.113675117,4.164977074,3.664959669,0.5,4.1583601
0.55,4.151488781,6.281705379,5.08331728,4.317529678,3.387568951,3.503973007,3.264595032,2.943477154,3.750400305,5.985911369,2.92213726,8.993177414,2.750402689,4.61549139,3.316098928,3.752127409,5.377222538,4.361430168,4.493339539,3.84140873,0.55,4.35464015
0.6,4.349902153,6.579804897,5.213278294,4.475159645,3.470530272,3.744281769,3.351546764,3.146278381,3.862574816,6.110071182,3.099871874,9.373101234,2.934120893,4.766361713,3.607475519,4.215352058,5.424973488,4.520771503,4.573825359,4.248937607,0.6,4.553410971
0.65,4.560881615,6.865732193,5.521025658,4.672802925,3.628479719,3.746127844,4.014811039,3.286421299,4.221680641,6.698627472,3.115168571,9.775186539,3.031896353,4.906036377,3.783490658,4.109470367,5.887862682,4.782967091,4.864021301,4.378275394,0.65,4.792548287
0.7,4.787475109,7.216364861,5.69809866,4.801070213,3.871813536,4.16230154,3.512942791,3.535661459,4.42247057,6.855166435,3.306359768,10.21226692,3.068831921,5.180003166,3.835233688,4.174349785,6.470374584,5.009210587,5.061279297,4.381380081,0.7,4.978132749
0.75,5.160800934,7.428586483,5.907346249,4.911327362,3.988282919,4.340995312,4.368371964,3.731376648,4.551852226,7.042607307,3.474045277,10.65517044,3.131309032,5.265249729,4.086923599,4.408340454,6.251916409,5.100196362,5.216606617,4.685952187,0.75,5.185362875
0.8,5.288238525,7.770976067,6.227603912,5.285870075,4.294544697,4.620795727,4.438162804,3.854394913,4.750122547,7.442572594,3.585981369,11.21414948,3.24877882,5.612264156,4.31784153,4.606503487,6.615773201,5.365152836,5.348222733,4.714934349,0.8,5.430144191
0.85,5.750862122,8.082385063,6.452775478,5.45552063,4.50934267,4.817205429,4.904848576,3.86102891,4.860211372,7.842794418,3.70966053,11.47283936,3.319407463,5.734933853,4.484503269,4.840466499,6.912613392,5.543336868,5.609517097,5.020451546,0.85,5.659235227
0.9,5.880749702,8.325091362,6.805187702,5.768596172,4.680632591,5.188053608,4.846568584,4.35328722,5.161031723,8.250101089,3.94041729,12.0967865,3.549372911,6.068328857,4.711143494,5.084596634,7.243930817,5.731358528,5.774446011,5.279504776,0.9,5.936959279
0.95,6.221567631,8.748773575,6.956363678,6.203427315,4.969939709,5.228082657,5.200167656,4.718527317,5.341510773,8.669937134,4.123848915,12.79956532,3.46013689,6.496404171,4.763093948,5.267049313,7.74132061,6.159805775,6.027385712,5.338442802,0.95,6.221767545
1,6.586448193,9.214633942,7.325817585,6.609421253,4.97784996,5.519461632,5.532270432,4.468635082,5.708053589,9.159455299,4.301929474,13.23405743,3.571974754,6.901519775,5.140715599,5.448981285,8.163582802,6.333980083,6.230988503,5.725764751,1,6.507777071
1.05,7.030609608,9.425133705,7.70116806,6.785363674,5.381874084,5.854728222,5.78852129,4.767723083,5.648177147,9.613197327,4.485900879,13.84095764,3.698358536,7.109712601,5.267337799,5.856580734,8.583937645,6.463613033,6.637197495,5.861096382,1.05,6.790059447
1.1,7.268284321,9.849462509,8.034724236,6.959771633,5.494035721,5.991175175,6.127289772,4.868055344,6.036075592,9.994316101,4.794727325,14.60330963,3.81374073,7.403140545,5.556834221,5.910157204,9.09428215,6.753755093,6.826357365,6.149240971,1.1,7.076436782
1.15,7.417118073,10.23814392,8.404558182,7.444291115,5.644888401,6.615343094,6.061079025,5.110264301,6.54701519,10.57994556,4.857981682,15.33707714,3.899207592,7.907754898,5.756951332,6.334851265,9.419851303,7.304929256,7.061513901,6.397341728,1.15,7.417005348
1.2,7.97919035,10.83152485,8.702514648,7.716190338,6.053672791,6.976899624,6.482500076,5.399582863,6.919261456,11.48874187,5.049127579,16.01651573,4.165177822,8.03443718,5.987279892,6.755764008,9.853887558,7.384214401,7.285160542,6.686384201,1.2,7.788401389
1.25,8.277500153,11.16252804,9.340564728,8.139719963,5.99323225,7.411186695,6.608979225,5.45194912,7.228211403,11.68894291,5.439405441,16.77426147,4.35743475,8.304733276,6.285025597,6.636441708,10.4776268,7.913610458,7.477508545,6.992484093,1.25,8.098067331
1.3,8.873413086,11.87500572,9.709241867,8.499326706,6.459383965,7.829449654,7.221068382,5.6844244,7.488594055,12.24075985,5.601669788,17.58746338,4.481275558,8.877246857,6.470817566,7.142681122,10.86463737,8.147291183,7.930233479,7.422046185,1.3,8.520301509
1.35,9.330231667,,10.14078903,8.938962936,6.588708401,8.362207413,7.768455029,5.948851585,8.027292252,12.91064167,5.937277794,18.51361275,4.819145679,9.38906002,6.811572552,7.4965415,11.37341213,8.472682953,8.309594154,7.735721111,1.35,8.782882138
1.4,9.840613365,,10.74400425,9.332971573,6.857068539,8.825892448,7.649739265,5.957487106,8.387247086,13.79728699,6.153157234,19.17236328,4.799831867,9.995988846,7.153635979,7.789818287,11.83519077,8.853979111,8.679483414,8.174009323,1.4,9.157882565
1.45,10.66998291,,,9.746554375,7.214364052,9.278967857,8.464630127,6.667531013,8.720409393,14.58861828,6.520478249,20.07018661,4.885665894,10.30560589,7.426729202,8.420173645,12.63414001,9.463374138,8.988996506,8.531654358,1.45,9.588781251
1.5,11.30100822,,,10.14703274,7.585515022,9.420854568,8.574866295,6.848757744,9.366575241,15.15424252,6.809536934,20.77489662,5.279267311,10.73504162,7.770712376,8.597761154,12.89772987,9.789681435,9.289774895,8.964146614,1.5,9.961522288
1.55,11.78897476,,,10.44531822,7.806125164,10.22800636,9.036140442,7.176918983,9.778734207,15.97537231,7.140010834,21.82353592,5.373321533,11.23705006,8.214407921,8.889267921,13.72004509,10.07525349,9.742866516,9.155047417,1.55,10.42257762
1.6,12.42317009,,,10.93476677,8.051556587,10.92892075,9.239684105,7.584456444,10.25156212,16.52191544,7.535881996,22.5844059,5.607989311,11.74015236,8.661550522,9.153802872,14.45753288,10.6438961,10.29208565,9.757598877,1.6,10.90949604
1.65,12.99123955,,,11.30830097,8.452455521,11.80445576,9.805919647,8.090078354,10.76925278,17.46484566,7.854141235,23.65878487,5.85297966,12.70031929,8.960944176,9.57809639,15.11260033,11.26353073,10.66085434,10.09657478,1.65,11.46807634
1.7,13.59490013,,,11.68996811,8.709259987,12.18952942,10.01072311,8.396808624,10.37708187,18.34343719,8.181980133,24.78014183,6.164480209,13.23387718,9.219812393,9.999523163,15.97610855,10.85152531,11.2807579,10.6755724,1.7,11.87086042
1.75,13.42123032,,,12.42765713,8.967189789,12.67524052,10.31921959,8.679933548,10.96045399,19.2520256,8.598508835,25.76052475,6.318136692,13.84947395,9.571640968,10.4657917,16.58657837,10.9747963,11.85780525,11.16700172,1.75,12.32517828
1.8,,,,12.77645302,9.452123642,13.56790924,10.42957687,9.060218811,11.05928516,20.06899261,8.943049431,27.00329208,6.668951511,14.53961182,9.257032394,11.2019968,16.96657753,,12.43120956,11.69684601,1.8,12.82019541
1.85,,,,13.37595558,9.966791153,14.24660683,11.16590977,9.535148621,11.12826347,,9.303646088,28.06949234,6.757332802,15.25061417,9.588817596,11.40843391,17.61930847,,13.09111023,12.22492504,1.85,12.84882374
1.9,,,,14.15710545,10.28920746,15.03423309,11.58638096,10.01250267,11.43069935,,9.528181076,29.5825882,6.969059944,16.0843277,9.732325554,11.95891666,17.22277832,,13.77321148,12.80565834,1.9,13.34447842
1.95,,,,14.81268501,10.75362492,15.87769318,12.06451035,10.54820156,11.95015049,,10.21845245,30.72927856,7.209162712,16.76282883,10.11188984,12.47644615,17.65077972,,14.52820396,13.54513168,1.95,13.94926929
2,,,,15.38882446,11.38175297,17.03153419,13.0028038,10.97291279,12.11329937,,10.37052155,32.38126755,7.609928131,16.15976715,10.35624504,12.90361595,18.47235489,,15.33924675,14.18906403,2,14.51154257
2.05,,,,16.56637573,11.89218903,17.94867897,13.21691227,11.58579826,12.59286404,,10.72444916,33.88935852,7.88719511,,10.60646248,13.10447407,19.01981163,,16.13639832,14.98778629,2.05,15.01133956
2.1,,,,17.06486893,12.27716923,19.04185486,13.97820377,12.02850056,13.05696869,,11.3021431,35.02787018,8.209630013,,11.26410389,13.66412067,20.05363655,,16.85643768,15.8720808,2.1,15.69268492
2.15,,,,18.06853485,12.98797798,19.92549133,14.57530785,12.57250881,13.56344795,,11.64249516,35.92801666,8.570314407,,11.80965137,14.30058193,20.80930901,,17.65892601,16.63546181,2.15,16.36057322
2.2,,,,18.8504734,13.60625648,20.71092033,15.48424721,13.37027359,14.212883,,12.38387394,36.92936707,9.122694016,,12.38866138,15.01584339,21.87042236,,18.40906143,17.5887928,2.2,17.13884074
2.25,,,,,14.23119259,21.7362957,16.01898956,13.78873444,14.54641724,,12.97108078,,9.473044395,,13.17820835,15.46867085,23.27816391,,19.2983017,18.51473808,2.25,16.04198647
2.3,,,,,14.90295792,23.19380951,17.29730988,14.60599709,14.90985489,,13.80905628,,9.908989906,,13.84422493,16.32007027,24.28943634,,19.83377457,19.41671371,2.3,16.86101627
2.35,,,,,15.70518494,24.38088989,17.71645546,15.452878,15.50566864,,14.27076721,,10.28005409,,14.57560158,17.31797791,25.58805847,,20.77855682,20.46280098,2.35,17.6695745
2.4,,,,,16.22944641,25.59444427,18.44097519,16.09436989,16.51853943,,15.2402544,,10.8769207,,14.91784573,18.04126358,26.87755013,,21.64469147,21.54432106,2.4,18.50171852
2.45,,,,,16.9424839,26.90512848,19.3137207,16.88452911,17.39779854,,16.18240738,,11.46086311,,15.03970146,18.7038784,28.85596848,,22.61087036,22.78600883,2.45,19.42361323
2.5,,,,,17.60182762,28.34897804,20.13067818,17.6295929,18.45845032,,16.57798004,,12.01883125,,15.55370712,19.70980835,30.02953529,,22.84418678,23.92625237,2.5,20.23581902
2.55,,,,,18.35407639,29.76319504,20.73166084,18.10639763,19.54076767,,17.56414413,,12.37871075,,16.04492188,20.41856194,31.52404785,,22.70314407,25.29168892,2.55,21.03510976
2.6,,,,,,31.07673645,21.75574875,18.20826721,20.76779175,,18.16490936,,13.13405704,,16.44950104,21.5529747,32.95698547,,22.94319534,26.73367882,2.6,22.15853145
2.65,,,,,,32.28801727,22.72898102,18.50814438,21.9605732,,19.00247574,,13.66751289,,16.81464386,22.33033371,34.50724411,,23.48515701,28.22099686,2.65,23.04673455
2.7,,,,,,,23.633564,19.2010746,23.01480103,,,,14.6033783,,17.09490395,23.24854279,35.64871979,,24.03050995,29.7272892,2.7,23.35586484
2.75,,,,,,,24.69178963,20.0372982,,,,,15.16292381,,17.3395462,24.36744118,36.9343605,,24.15403366,31.28954887,2.75,24.24711776
2.8,,,,,,,25.99343872,20.56701279,,,,,15.91436386,,17.64534378,25.40665817,38.22954559,,24.07834244,33.3105011,2.8,25.14315081
2.85,,,,,,,27.23684692,21.5736084,,,,,16.83857536,,17.65291405,27.01497459,40.11035156,,,34.57138824,2.85,26.42837988
2.9,,,,,,,28.68447304,22.60877037,,,,,17.47162056,,,,42.45615387,,,,2.9,27.80525446
2.95,,,,,,,29.64413071,23.99137497,,,,,18.37576294,,,,44.21496201,,,,2.95,29.05655766
3,,,,,,,30.86122322,25.43152237,,,,,19.20322609,,,,46.31687546,,,,3,30.45321178
3.05,,,,,,,31.83220482,26.98497581,,,,,20.21394348,,,,48.31675339,,,,3.05,31.83696938
3.1,,,,,,,,,,,,,21.35982513,,,,50.99910355,,,,3.1,36.17946434
3.15,,,,,,,,,,,,,22.18012619,,,,53.423172,,,,3.15,37.80164909
3.2,,,,,,,,,,,,,23.34918594,,,,56.04264069,,,,3.2,39.69591331
3.25,,,,,,,,,,,,,24.56425858,,,,,,,,3.25,24.56425858
3.3,,,,,,,,,,,,,26.28799629,,,,,,,,3.3,26.28799629
3.35,,,,,,,,,,,,,27.30079842,,,,,,,,3.35,27.30079842
3.4,,,,,,,,,,,,,28.85327721,,,,,,,,3.4,28.85327721
3.45,,,,,,,,,,,,,30.45662308,,,,,,,,3.45,30.45662308
3.5,,,,,,,,,,,,,31.62865829,,,,,,,,3.5,31.62865829
3.55,,,,,,,,,,,,,33.12437439,,,,,,,,3.55,33.12437439
3.6,,,,,,,,,,,,,34.63678741,,,,,,,,3.6,34.63678741
3.65,,,,,,,,,,,,,36.37342834,,,,,,,,3.65,36.37342834
3.7,,,,,,,,,,,,,36.4797287,,,,,,,,3.7,36.4797287
3.75,,,,,,,,,,,,,37.54975128,,,,,,,,3.75,37.54975128
3.8,,,,,,,,,,,,,39.23499298,,,,,,,,3.8,39.23499298
3.85,,,,,,,,,,,,,40.94816589,,,,,,,,3.85,40.94816589
3.9,,,,,,,,,,,,,42.18767548,,,,,,,,3.9,42.18767548
3.95,,,,,,,,,,,,,42.54160309,,,,,,,,3.95,42.54160309
4,,,,,,,,,,,,,,,,,,,,,,
4.05,,,,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,,,,
4.15,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,
4.25,,,,,,,,,,,,,,,,,,,,,,
4.3,,,,,,,,,,,,,,,,,,,,,,
4.35,,,,,,,,,,,,,,,,,,,,,,
4.4,,,,,,,,,,,,,,,,,,,,,,
4.45,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,
4.55,,,,,,,,,,,,,,,,,,,,,,
4.6,,,,,,,,,,,,,,,,,,,,,,
4.65,,,,,,,,,,,,,,,,,,,,,,
4.7,,,,,,,,,,,,,,,,,,,,,,
4.75,,,,,,,,,,,,,,,,,,,,,,
4.8,,,,,,,,,,,,,,,,,,,,,,
4.85,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
